ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9300000071525574,84859200,143,12
mean,False,1.83298052434111e-05,0.9300000071525574,84465600,141,12
mean,False,3.359817492309958e-05,0.9300000071525574,84268800,140,12
mean,False,6.158479664009064e-05,0.9300000071525574,83678400,137,12
mean,False,0.00011288379755569622,0.9249999523162842,81907200,128,12
mean,False,0.0002069137990474701,0.9249999523162842,79939200,118,12
mean,False,0.00037926918594166636,0.9300000071525574,77774400,107,12
mean,False,0.0006951930117793381,0.9249999523162842,73641600,86,12
mean,False,0.0012742752442136407,0.9199999570846558,69115200,63,12
mean,False,0.0023357216268777847,0.9199999570846558,66360000,49,12
mean,False,0.0042813322506845,0.949999988079071,63014400,32,12
mean,False,0.007847598753869534,0.9249999523162842,60060096,17,12
mean,False,0.014384495094418526,0.9649999737739563,58876992,11,12
mean,False,0.02636650577187538,0.98499995470047,57684672,5,12
mean,False,0.04832930490374565,0.9950000047683716,57286464,3,12
mean,False,0.08858667314052582,1.0,57087360,2,12
mean,False,0.16237767040729523,0.9199999570846558,56888256,1,12
mean,False,0.29763513803482056,0.9199999570846558,56888256,1,12
mean,False,0.5455594658851624,0.9199999570846558,56888256,1,12
mean,False,1.0,0.9199999570846558,56888256,1,12
mean,True,9.999999747378752e-06,0.9300000071525574,84859200,143,12
mean,True,1.83298052434111e-05,0.9300000071525574,84465600,141,12
mean,True,3.359817492309958e-05,0.9300000071525574,84268800,140,12
mean,True,6.158479664009064e-05,0.9300000071525574,83678400,137,12
mean,True,0.00011288379755569622,0.9249999523162842,81907200,128,12
mean,True,0.0002069137990474701,0.9249999523162842,79939200,118,12
mean,True,0.00037926918594166636,0.9300000071525574,77774400,107,12
mean,True,0.0006951930117793381,0.9249999523162842,73641600,86,12
mean,True,0.0012742752442136407,0.9199999570846558,69115200,63,12
mean,True,0.0023357216268777847,0.9199999570846558,66360000,49,12
mean,True,0.0042813322506845,0.949999988079071,63014400,32,12
mean,True,0.007847598753869534,0.9249999523162842,60060096,17,12
mean,True,0.014384495094418526,0.9649999737739563,58876992,11,12
mean,True,0.02636650577187538,0.9350000023841858,34861248,9,7
mean,True,0.04832930490374565,0.73499995470047,28942656,3,6
mean,True,0.08858667314052582,0.3199999928474426,24019584,2,5
mean,True,0.16237767040729523,0.0,5123712,2,1
mean,True,0.29763513803482056,0.0,4924608,1,1
mean,True,0.5455594658851624,0.0,200640,1,0
mean,True,1.0,0.0,1536,0,0
zero,False,9.999999747378752e-06,0.9249999523162842,85056000,144,12
zero,False,1.83298052434111e-05,0.9249999523162842,85056000,144,12
zero,False,3.359817492309958e-05,0.9249999523162842,85056000,144,12
zero,False,6.158479664009064e-05,0.9249999523162842,85056000,144,12
zero,False,0.00011288379755569622,0.9249999523162842,85056000,144,12
zero,False,0.0002069137990474701,0.9350000023841858,84662400,142,12
zero,False,0.00037926918594166636,0.9099999666213989,83875200,138,12
zero,False,0.0006951930117793381,0.9300000071525574,81120000,124,12
zero,False,0.0012742752442136407,0.9249999523162842,78168000,109,12
zero,False,0.0023357216268777847,0.8849999904632568,74625600,91,12
zero,False,0.0042813322506845,0.9249999523162842,71673600,76,12
zero,False,0.007847598753869534,0.875,69312000,64,12
zero,False,0.014384495094418526,0.7999999523162842,64980096,42,12
zero,False,0.02636650577187538,0.35999998450279236,63993792,37,12
zero,False,0.04832930490374565,0.73499995470047,62810688,31,12
zero,False,0.08858667314052582,0.25999999046325684,61037184,22,12
zero,False,0.16237767040729523,0.014999999664723873,60050880,17,12
zero,False,0.29763513803482056,0.0,58075968,7,12
zero,False,0.5455594658851624,0.0,57483264,4,12
zero,False,1.0,0.0,56888256,1,12
zero,True,9.999999747378752e-06,0.9249999523162842,85056000,144,12
zero,True,1.83298052434111e-05,0.9249999523162842,85056000,144,12
zero,True,3.359817492309958e-05,0.9249999523162842,85056000,144,12
zero,True,6.158479664009064e-05,0.9249999523162842,85056000,144,12
zero,True,0.00011288379755569622,0.9249999523162842,85056000,144,12
zero,True,0.0002069137990474701,0.9350000023841858,84662400,142,12
zero,True,0.00037926918594166636,0.9099999666213989,83875200,138,12
zero,True,0.0006951930117793381,0.9300000071525574,81120000,124,12
zero,True,0.0012742752442136407,0.9249999523162842,78168000,109,12
zero,True,0.0023357216268777847,0.8849999904632568,74625600,91,12
zero,True,0.0042813322506845,0.9249999523162842,71673600,76,12
zero,True,0.007847598753869534,0.875,69312000,64,12
zero,True,0.014384495094418526,0.7999999523162842,64980096,42,12
zero,True,0.02636650577187538,0.35999998450279236,63993792,37,12
zero,True,0.04832930490374565,0.73499995470047,62810688,31,12
zero,True,0.08858667314052582,0.47999998927116394,56114112,21,11
zero,True,0.16237767040729523,0.009999999776482582,50406144,16,10
zero,True,0.29763513803482056,0.0,40367808,13,8
zero,True,0.5455594658851624,0.0,28544448,1,6
zero,True,1.0,0.0,9648576,1,2
