ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9320000410079956,85056000,144,12
mean,False,1.4873522559355479e-05,0.9320000410079956,84662400,142,12
mean,False,2.2122167138149962e-05,0.9360000491142273,84465600,141,12
mean,False,3.2903451938182116e-05,0.9360000491142273,84268800,140,12
mean,False,4.893902223557234e-05,0.9320000410079956,83875200,138,12
mean,False,7.278956763911992e-05,0.940000057220459,83678400,137,12
mean,False,0.00010826366633409634,0.9440000653266907,82497600,131,12
mean,False,0.00016102619701996446,0.9520000219345093,81710400,127,12
mean,False,0.0002395026822341606,0.9640000462532043,79545600,116,12
mean,False,0.00035622483119368553,0.9600000381469727,78364800,110,12
mean,False,0.0005298317992128432,0.9360000491142273,75216000,94,12
mean,False,0.0007880465127527714,0.9360000491142273,74035200,88,12
mean,False,0.0011721020564436913,0.9200000166893005,70492800,70,12
mean,False,0.0017433286411687732,0.9080000519752502,67540800,55,12
mean,False,0.0025929436087608337,0.9160000681877136,64785600,41,12
mean,False,0.003856620518490672,0.9120000600814819,62424000,29,12
mean,False,0.005736153107136488,0.9320000410079956,60847296,21,12
mean,False,0.008531680330634117,0.940000057220459,59860992,16,12
mean,False,0.01268961001187563,0.9600000381469727,59071488,12,12
mean,False,0.0188739150762558,0.956000030040741,58677888,10,12
mean,False,0.028072157874703407,0.9720000624656677,58279680,8,12
mean,False,0.04175318777561188,0.9920000433921814,57485568,4,12
mean,False,0.06210169568657875,1.0,57087360,2,12
mean,False,0.09236709773540497,1.0,57087360,2,12
mean,False,0.1373823583126068,0.9120000600814819,56888256,1,12
mean,False,0.20433597266674042,0.9120000600814819,56888256,1,12
mean,False,0.30391955375671387,0.9120000600814819,56888256,1,12
mean,False,0.4520353674888611,0.9120000600814819,56888256,1,12
mean,False,0.6723357439041138,0.9120000600814819,56888256,1,12
mean,False,1.0,0.9120000600814819,56888256,1,12
mean,True,9.999999747378752e-06,0.9320000410079956,85056000,144,12
mean,True,1.4873522559355479e-05,0.9320000410079956,84662400,142,12
mean,True,2.2122167138149962e-05,0.9360000491142273,84465600,141,12
mean,True,3.2903451938182116e-05,0.9360000491142273,84268800,140,12
mean,True,4.893902223557234e-05,0.9320000410079956,83875200,138,12
mean,True,7.278956763911992e-05,0.940000057220459,83678400,137,12
mean,True,0.00010826366633409634,0.9440000653266907,82497600,131,12
mean,True,0.00016102619701996446,0.9520000219345093,81710400,127,12
mean,True,0.0002395026822341606,0.9640000462532043,79545600,116,12
mean,True,0.00035622483119368553,0.9600000381469727,78364800,110,12
mean,True,0.0005298317992128432,0.9360000491142273,75216000,94,12
mean,True,0.0007880465127527714,0.9360000491142273,74035200,88,12
mean,True,0.0011721020564436913,0.9200000166893005,70492800,70,12
mean,True,0.0017433286411687732,0.9080000519752502,67540800,55,12
mean,True,0.0025929436087608337,0.9160000681877136,64785600,41,12
mean,True,0.003856620518490672,0.9120000600814819,62424000,29,12
