ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,1.0,82694400,132,12
mean,False,1.6102629160741344e-05,1.0,81710400,127,12
mean,False,2.5929437470040284e-05,1.0,80923200,123,12
mean,False,4.175321009824984e-05,1.0,79348800,115,12
mean,False,6.723357364535332e-05,1.0,76593600,101,12
mean,False,0.00010826366633409634,1.0,74625600,91,12
mean,False,0.00017433286120649427,1.0,72460800,80,12
mean,False,0.00028072157874703407,1.0,69115200,63,12
mean,False,0.0004520353104453534,1.0,65373696,44,12
mean,False,0.0007278956472873688,1.0,62419392,29,12
mean,False,0.0011721027549356222,1.0,61433088,24,12
mean,False,0.0018873924855142832,1.0,60643584,20,12
mean,False,0.00303919636644423,1.0,59263680,13,12
mean,False,0.004893902223557234,1.0,58870080,11,12
mean,False,0.007880465127527714,1.0,57881472,6,12
mean,False,0.012689606286585331,1.0,57684672,5,12
mean,False,0.020433591678738594,1.0,57485568,4,12
mean,False,0.032903436571359634,1.0,57286464,3,12
mean,False,0.05298316478729248,1.0,57286464,3,12
mean,False,0.08531677722930908,1.0,57286464,3,12
mean,False,0.1373823583126068,0.964,57087360,2,12
mean,False,0.22122159600257874,0.94,56888256,1,12
mean,False,0.35622474551200867,0.94,56888256,1,12
mean,False,0.5736151933670044,0.76,56689152,0,12
mean,False,0.923670768737793,0.76,56689152,0,12
mean,False,1.4873520135879517,0.76,56689152,0,12
mean,False,2.395026445388794,0.76,56689152,0,12
mean,False,3.8566205501556396,0.76,56689152,0,12
mean,False,6.210169315338135,0.76,56689152,0,12
mean,False,10.0,0.76,56689152,0,12
mean,True,9.999999747378752e-06,1.0,82694400,132,12
mean,True,1.6102629160741344e-05,1.0,81710400,127,12
mean,True,2.5929437470040284e-05,1.0,80923200,123,12
mean,True,4.175321009824984e-05,1.0,79348800,115,12
mean,True,6.723357364535332e-05,1.0,76593600,101,12
mean,True,0.00010826366633409634,1.0,74625600,91,12
mean,True,0.00017433286120649427,1.0,72460800,80,12
mean,True,0.00028072157874703407,1.0,69115200,63,12
mean,True,0.0004520353104453534,1.0,65373696,44,12
mean,True,0.0007278956472873688,1.0,62419392,29,12
mean,True,0.0011721027549356222,1.0,61433088,24,12
mean,True,0.0018873924855142832,1.0,60643584,20,12
mean,True,0.00303919636644423,1.0,59263680,13,12
mean,True,0.004893902223557234,1.0,58870080,11,12
mean,True,0.007880465127527714,1.0,43709568,6,9
mean,True,0.012689606286585331,1.0,38788800,5,8
mean,True,0.020433591678738594,1.0,34064832,5,7
mean,True,0.032903436571359634,0.988,29141760,4,6
mean,True,0.05298316478729248,0.996,24417792,4,5
mean,True,0.08531677722930908,1.0,14571648,2,3
mean,True,0.1373823583126068,0.92,19295616,2,4
mean,True,0.22122159600257874,0.924,4725504,0,1
mean,True,0.35622474551200867,0.472,1536,0,0
mean,True,0.5736151933670044,0.472,1536,0,0
mean,True,0.923670768737793,0.472,1536,0,0
mean,True,1.4873520135879517,0.472,1536,0,0
mean,True,2.395026445388794,0.472,1536,0,0
mean,True,3.8566205501556396,0.472,1536,0,0
mean,True,6.210169315338135,0.472,1536,0,0
mean,True,10.0,0.472,1536,0,0
zero,False,9.999999747378752e-06,1.0,85056000,144,12
zero,False,1.6102629160741344e-05,1.0,85056000,144,12
zero,False,2.5929437470040284e-05,1.0,85056000,144,12
zero,False,4.175321009824984e-05,1.0,83875200,138,12
zero,False,6.723357364535332e-05,1.0,83481600,136,12
zero,False,0.00010826366633409634,1.0,81513600,126,12
zero,False,0.00017433286120649427,1.0,81120000,124,12
zero,False,0.00028072157874703407,1.0,79152000,114,12
zero,False,0.0004520353104453534,1.0,77774400,107,12
zero,False,0.0007278956472873688,1.0,77184000,104,12
zero,False,0.0011721027549356222,1.0,75806400,97,12
zero,False,0.0018873924855142832,0.996,73051200,83,12
zero,False,0.00303919636644423,0.992,68721600,61,12
zero,False,0.004893902223557234,1.0,67540800,55,12
zero,False,0.007880465127527714,1.0,63996096,37,12
zero,False,0.012689606286585331,0.004,63206592,33,12
zero,False,0.020433591678738594,0.024,63206592,33,12
zero,False,0.032903436571359634,0.696,62023488,27,12
zero,False,0.05298316478729248,0.62,61627584,25,12
zero,False,0.08531677722930908,0.0,61231680,23,12
zero,False,0.1373823583126068,0.276,60442176,19,12
zero,False,0.22122159600257874,0.036,60048576,17,12
zero,False,0.35622474551200867,0.0,58865472,11,12
zero,False,0.5736151933670044,0.0,57480960,4,12
zero,False,0.923670768737793,0.0,56689152,0,12
zero,False,1.4873520135879517,0.0,56689152,0,12
zero,False,2.395026445388794,0.0,56689152,0,12
zero,False,3.8566205501556396,0.0,56689152,0,12
zero,False,6.210169315338135,0.0,56689152,0,12
zero,False,10.0,0.0,56689152,0,12
zero,True,9.999999747378752e-06,1.0,85056000,144,12
zero,True,1.6102629160741344e-05,1.0,85056000,144,12
zero,True,2.5929437470040284e-05,1.0,85056000,144,12
zero,True,4.175321009824984e-05,1.0,83875200,138,12
zero,True,6.723357364535332e-05,1.0,83481600,136,12
zero,True,0.00010826366633409634,1.0,81513600,126,12
zero,True,0.00017433286120649427,1.0,81120000,124,12
zero,True,0.00028072157874703407,1.0,79152000,114,12
zero,True,0.0004520353104453534,1.0,77774400,107,12
zero,True,0.0007278956472873688,1.0,77184000,104,12
zero,True,0.0011721027549356222,1.0,75806400,97,12
zero,True,0.0018873924855142832,0.996,73051200,83,12
zero,True,0.00303919636644423,0.992,68721600,61,12
zero,True,0.004893902223557234,1.0,67540800,55,12
zero,True,0.007880465127527714,1.0,63996096,37,12
zero,True,0.012689606286585331,0.004,63206592,33,12
zero,True,0.020433591678738594,0.024,63206592,33,12
zero,True,0.032903436571359634,0.144,56709120,24,11
