ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9280000329017639,84859200,143,12
mean,False,1.4873522559355479e-05,0.9280000329017639,84465600,141,12
mean,False,2.2122167138149962e-05,0.9280000329017639,84465600,141,12
mean,False,3.2903451938182116e-05,0.9280000329017639,84268800,140,12
mean,False,4.893902223557234e-05,0.9280000329017639,84072000,139,12
mean,False,7.278956763911992e-05,0.9240000247955322,83284800,135,12
mean,False,0.00010826366633409634,0.9240000247955322,82300800,130,12
mean,False,0.00016102619701996446,0.9280000329017639,80923200,123,12
mean,False,0.0002395026822341606,0.9360000491142273,79545600,116,12
mean,False,0.00035622483119368553,0.940000057220459,78168000,109,12
mean,False,0.0005298317992128432,0.9320000410079956,76396800,100,12
mean,False,0.0007880465127527714,0.9280000329017639,72657600,81,12
mean,False,0.0011721020564436913,0.9320000410079956,70492800,70,12
mean,False,0.0017433286411687732,0.9360000491142273,67934400,57,12
mean,False,0.0025929436087608337,0.9360000491142273,65376000,44,12
mean,False,0.003856620518490672,0.9440000653266907,62620800,30,12
mean,False,0.005736153107136488,0.9480000734329224,61440000,24,12
mean,False,0.008531680330634117,0.9600000381469727,59860992,16,12
mean,False,0.01268961001187563,0.956000030040741,58675584,10,12
mean,False,0.0188739150762558,0.968000054359436,58279680,8,12
mean,False,0.028072157874703407,0.984000027179718,57684672,5,12
mean,False,0.04175318777561188,1.0,57485568,4,12
mean,False,0.06210169568657875,1.0,57286464,3,12
mean,False,0.09236709773540497,0.984000027179718,57087360,2,12
mean,False,0.1373823583126068,0.9360000491142273,56888256,1,12
mean,False,0.20433597266674042,0.9360000491142273,56888256,1,12
mean,False,0.30391955375671387,0.9360000491142273,56888256,1,12
mean,False,0.4520353674888611,0.9360000491142273,56888256,1,12
mean,False,0.6723357439041138,0.9360000491142273,56888256,1,12
mean,False,1.0,0.9360000491142273,56888256,1,12
mean,True,9.999999747378752e-06,0.9280000329017639,84859200,143,12
mean,True,1.4873522559355479e-05,0.9280000329017639,84465600,141,12
mean,True,2.2122167138149962e-05,0.9280000329017639,84465600,141,12
mean,True,3.2903451938182116e-05,0.9280000329017639,84268800,140,12
mean,True,4.893902223557234e-05,0.9280000329017639,84072000,139,12
mean,True,7.278956763911992e-05,0.9240000247955322,83284800,135,12
mean,True,0.00010826366633409634,0.9240000247955322,82300800,130,12
mean,True,0.00016102619701996446,0.9280000329017639,80923200,123,12
mean,True,0.0002395026822341606,0.9360000491142273,79545600,116,12
mean,True,0.00035622483119368553,0.940000057220459,78168000,109,12
mean,True,0.0005298317992128432,0.9320000410079956,76396800,100,12
mean,True,0.0007880465127527714,0.9280000329017639,72657600,81,12
mean,True,0.0011721020564436913,0.9320000410079956,70492800,70,12
mean,True,0.0017433286411687732,0.9360000491142273,67934400,57,12
mean,True,0.0025929436087608337,0.9360000491142273,65376000,44,12
mean,True,0.003856620518490672,0.9440000653266907,62620800,30,12
mean,True,0.005736153107136488,0.9480000734329224,61440000,24,12
mean,True,0.008531680330634117,0.9600000381469727,59860992,16,12
mean,True,0.01268961001187563,0.956000030040741,58675584,10,12
mean,True,0.0188739150762558,0.968000054359436,58279680,8,12
mean,True,0.028072157874703407,0.9160000681877136,34064832,5,7
mean,True,0.04175318777561188,0.8280000686645508,33666624,3,7
mean,True,0.06210169568657875,0.6920000314712524,28942656,3,6
mean,True,0.09236709773540497,0.3840000033378601,24019584,2,5
mean,True,0.1373823583126068,0.06400000303983688,14571648,2,3
mean,True,0.20433597266674042,0.0,5123712,2,1
mean,True,0.30391955375671387,0.0,4924608,1,1
mean,True,0.4520353674888611,0.0,200640,1,0
mean,True,0.6723357439041138,0.0,200640,1,0
mean,True,1.0,0.0,1536,0,0
zero,False,9.999999747378752e-06,0.9280000329017639,85056000,144,12
zero,False,1.4873522559355479e-05,0.9280000329017639,85056000,144,12
zero,False,2.2122167138149962e-05,0.9280000329017639,85056000,144,12
zero,False,3.2903451938182116e-05,0.9280000329017639,85056000,144,12
zero,False,4.893902223557234e-05,0.9280000329017639,85056000,144,12
zero,False,7.278956763911992e-05,0.9280000329017639,85056000,144,12
zero,False,0.00010826366633409634,0.9280000329017639,85056000,144,12
zero,False,0.00016102619701996446,0.9320000410079956,84859200,143,12
zero,False,0.0002395026822341606,0.9280000329017639,84662400,142,12
zero,False,0.00035622483119368553,0.9280000329017639,83678400,137,12
zero,False,0.0005298317992128432,0.9240000247955322,82694400,132,12
zero,False,0.0007880465127527714,0.9360000491142273,80136000,119,12
zero,False,0.0011721020564436913,0.9320000410079956,79348800,115,12
zero,False,0.0017433286411687732,0.9280000329017639,76987200,103,12
zero,False,0.0025929436087608337,0.9280000329017639,74035200,88,12
zero,False,0.003856620518490672,0.9080000519752502,73051200,83,12
zero,False,0.005736153107136488,0.9120000600814819,70099200,68,12
zero,False,0.008531680330634117,0.8600000143051147,68131200,58,12
zero,False,0.01268961001187563,0.7520000338554382,66554496,50,12
