ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9533333778381348,84465600,141,12
mean,False,1.4873522559355479e-05,0.9533333778381348,84465600,141,12
mean,False,2.2122167138149962e-05,0.9533333778381348,84465600,141,12
mean,False,3.2903451938182116e-05,0.9533333778381348,84072000,139,12
mean,False,4.893902223557234e-05,0.9533333778381348,83088000,134,12
mean,False,7.278956763911992e-05,0.9466667175292969,82300800,130,12
mean,False,0.00010826366633409634,0.9466667175292969,81120000,124,12
mean,False,0.00016102619701996446,0.9466667175292969,79348800,115,12
mean,False,0.0002395026822341606,0.9533333778381348,77577600,106,12
mean,False,0.00035622483119368553,0.9466667175292969,75609600,96,12
mean,False,0.0005298317992128432,0.9666666984558105,73051200,83,12
mean,False,0.0007880465127527714,0.9600000381469727,70099200,68,12
mean,False,0.0011721020564436913,0.9666666984558105,69312000,64,12
mean,False,0.0017433286411687732,0.9800000190734863,67147200,53,12
mean,False,0.0025929436087608337,0.9866666793823242,65179200,43,12
mean,False,0.003856620518490672,0.9866666793823242,63014400,32,12
mean,False,0.005736153107136488,0.9933333396911621,61629888,25,12
mean,False,0.008531680330634117,0.9933333396911621,60442176,19,12
mean,False,0.01268961001187563,0.9933333396911621,60048576,17,12
mean,False,0.0188739150762558,1.0,58467264,9,12
mean,False,0.028072157874703407,0.9866666793823242,58270464,8,12
mean,False,0.04175318777561188,0.9133333563804626,58071360,7,12
mean,False,0.06210169568657875,0.846666693687439,57874560,6,12
mean,False,0.09236709773540497,0.9600000381469727,57480960,4,12
mean,False,0.1373823583126068,0.800000011920929,57284160,3,12
mean,False,0.20433597266674042,0.29333335161209106,57085056,2,12
mean,False,0.30391955375671387,0.29333335161209106,57085056,2,12
mean,False,0.4520353674888611,0.29333335161209106,57085056,2,12
mean,False,0.6723357439041138,0.02666666731238365,56888256,1,12
mean,False,1.0,0.02666666731238365,56888256,1,12
mean,True,9.999999747378752e-06,0.9533333778381348,84465600,141,12
mean,True,1.4873522559355479e-05,0.9533333778381348,84465600,141,12
mean,True,2.2122167138149962e-05,0.9533333778381348,84465600,141,12
mean,True,3.2903451938182116e-05,0.9533333778381348,84072000,139,12
mean,True,4.893902223557234e-05,0.9533333778381348,83088000,134,12
mean,True,7.278956763911992e-05,0.9466667175292969,82300800,130,12
mean,True,0.00010826366633409634,0.9466667175292969,81120000,124,12
mean,True,0.00016102619701996446,0.9466667175292969,79348800,115,12
mean,True,0.0002395026822341606,0.9533333778381348,77577600,106,12
mean,True,0.00035622483119368553,0.9466667175292969,75609600,96,12
mean,True,0.0005298317992128432,0.9666666984558105,73051200,83,12
mean,True,0.0007880465127527714,0.9600000381469727,70099200,68,12
mean,True,0.0011721020564436913,0.9666666984558105,69312000,64,12
mean,True,0.0017433286411687732,0.9800000190734863,67147200,53,12
mean,True,0.0025929436087608337,0.9866666793823242,65179200,43,12
mean,True,0.003856620518490672,0.9866666793823242,63014400,32,12
mean,True,0.005736153107136488,1.0,57105024,26,11
mean,True,0.008531680330634117,1.0,50994240,19,10
mean,True,0.01268961001187563,1.0,41152704,17,8
mean,True,0.0188739150762558,0.9533333778381348,25598592,10,5
mean,True,0.028072157874703407,0.800000011920929,29926656,8,6
mean,True,0.04175318777561188,0.6266666650772095,20279616,7,4
mean,True,0.06210169568657875,0.19333334267139435,20279616,7,4
mean,True,0.09236709773540497,0.20000000298023224,24413184,4,5
mean,True,0.1373823583126068,0.019999999552965164,19689216,4,4
mean,True,0.20433597266674042,0.0,5320512,3,1
mean,True,0.30391955375671387,0.0,5121408,2,1
mean,True,0.4520353674888611,0.0,5121408,2,1
mean,True,0.6723357439041138,0.0,5121408,2,1
mean,True,1.0,0.0,200640,1,0
zero,False,9.999999747378752e-06,0.9533333778381348,85056000,144,12
zero,False,1.4873522559355479e-05,0.9533333778381348,85056000,144,12
zero,False,2.2122167138149962e-05,0.9533333778381348,85056000,144,12
zero,False,3.2903451938182116e-05,0.9533333778381348,85056000,144,12
zero,False,4.893902223557234e-05,0.9533333778381348,85056000,144,12
zero,False,7.278956763911992e-05,0.9533333778381348,84859200,143,12
zero,False,0.00010826366633409634,0.9533333778381348,84859200,143,12
zero,False,0.00016102619701996446,0.9533333778381348,84662400,142,12
zero,False,0.0002395026822341606,0.9533333778381348,84465600,141,12
zero,False,0.00035622483119368553,0.9533333778381348,83678400,137,12
zero,False,0.0005298317992128432,0.9533333778381348,83481600,136,12
zero,False,0.0007880465127527714,0.9266666769981384,82497600,131,12
zero,False,0.0011721020564436913,0.9333333373069763,80923200,123,12
zero,False,0.0017433286411687732,0.9066666960716248,77577600,106,12
zero,False,0.0025929436087608337,0.9333333373069763,75216000,94,12
zero,False,0.003856620518490672,0.9733333587646484,74232000,89,12
zero,False,0.005736153107136488,0.9533333778381348,72854400,82,12
zero,False,0.008531680330634117,0.9333333373069763,70689600,71,12
zero,False,0.01268961001187563,0.6933333277702332,70886400,72,12
zero,False,0.0188739150762558,0.9133333563804626,69312000,64,12
zero,False,0.028072157874703407,0.18000000715255737,66556800,50,12
zero,False,0.04175318777561188,0.07999999821186066,66753600,51,12
zero,False,0.06210169568657875,0.14000000059604645,65572800,45,12
zero,False,0.09236709773540497,0.3733333349227905,64588800,40,12
zero,False,0.1373823583126068,0.3199999928474426,62620800,30,12
zero,False,0.20433597266674042,0.1666666716337204,61632192,25,12
zero,False,0.30391955375671387,0.0,59263680,13,12
zero,False,0.4520353674888611,0.0,58275072,8,12
zero,False,0.6723357439041138,0.0,57485568,4,12
zero,False,1.0,0.0,57286464,3,12
zero,True,9.999999747378752e-06,0.9533333778381348,85056000,144,12
zero,True,1.4873522559355479e-05,0.9533333778381348,85056000,144,12
zero,True,2.2122167138149962e-05,0.9533333778381348,85056000,144,12
zero,True,3.2903451938182116e-05,0.9533333778381348,85056000,144,12
zero,True,4.893902223557234e-05,0.9533333778381348,85056000,144,12
zero,True,7.278956763911992e-05,0.9533333778381348,84859200,143,12
zero,True,0.00010826366633409634,0.9533333778381348,84859200,143,12
zero,True,0.00016102619701996446,0.9533333778381348,84662400,142,12
zero,True,0.0002395026822341606,0.9533333778381348,84465600,141,12
zero,True,0.00035622483119368553,0.9533333778381348,83678400,137,12
zero,True,0.0005298317992128432,0.9533333778381348,83481600,136,12
zero,True,0.0007880465127527714,0.9266666769981384,82497600,131,12
zero,True,0.0011721020564436913,0.9333333373069763,80923200,123,12
zero,True,0.0017433286411687732,0.9066666960716248,77577600,106,12
zero,True,0.0025929436087608337,0.9333333373069763,75216000,94,12
zero,True,0.003856620518490672,0.9733333587646484,74232000,89,12
zero,True,0.005736153107136488,0.9533333778381348,72854400,82,12
zero,True,0.008531680330634117,0.9333333373069763,70689600,71,12
zero,True,0.01268961001187563,0.6933333277702332,70886400,72,12
zero,True,0.0188739150762558,0.9133333563804626,69312000,64,12
zero,True,0.028072157874703407,0.7666667103767395,62226432,52,11
zero,True,0.04175318777561188,0.6733333468437195,55534464,42,10
zero,True,0.06210169568657875,0.29333335161209106,55140864,40,10
zero,True,0.09236709773540497,0.59333336353302,49432896,35,9
zero,True,0.1373823583126068,0.08666666597127914,42935424,26,8
zero,True,0.20433597266674042,0.0,48247488,29,9
zero,True,0.30391955375671387,0.14666667580604553,37220544,21,7
