ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9600000381469727,84465600,141,12
mean,False,1.4873522559355479e-05,0.9600000381469727,84465600,141,12
mean,False,2.2122167138149962e-05,0.9600000381469727,84268800,140,12
mean,False,3.2903451938182116e-05,0.9600000381469727,84268800,140,12
mean,False,4.893902223557234e-05,0.9600000381469727,83481600,136,12
mean,False,7.278956763911992e-05,0.9666666984558105,82300800,130,12
mean,False,0.00010826366633409634,0.9600000381469727,81120000,124,12
mean,False,0.00016102619701996446,0.9600000381469727,79939200,118,12
mean,False,0.0002395026822341606,0.9666666984558105,77577600,106,12
mean,False,0.00035622483119368553,0.9600000381469727,76200000,99,12
mean,False,0.0005298317992128432,0.9800000190734863,73444800,85,12
mean,False,0.0007880465127527714,0.9800000190734863,71280000,74,12
mean,False,0.0011721020564436913,0.9733333587646484,68524800,60,12
mean,False,0.0017433286411687732,0.9800000190734863,66950400,52,12
mean,False,0.0025929436087608337,0.9800000190734863,64982400,42,12
mean,False,0.003856620518490672,0.9800000190734863,63602496,35,12
mean,False,0.005736153107136488,0.9933333396911621,61824384,26,12
mean,False,0.008531680330634117,1.0,60442176,19,12
mean,False,0.01268961001187563,0.9933333396911621,59849472,16,12
mean,False,0.0188739150762558,0.9933333396911621,59256768,13,12
mean,False,0.028072157874703407,0.9800000190734863,58270464,8,12
mean,False,0.04175318777561188,0.9600000381469727,58270464,8,12
mean,False,0.06210169568657875,0.9200000166893005,58071360,7,12
mean,False,0.09236709773540497,0.9266666769981384,57480960,4,12
mean,False,0.1373823583126068,0.8199999928474426,57284160,3,12
mean,False,0.20433597266674042,0.8199999928474426,57284160,3,12
mean,False,0.30391955375671387,0.2133333384990692,57085056,2,12
mean,False,0.4520353674888611,0.2133333384990692,57085056,2,12
mean,False,0.6723357439041138,0.2133333384990692,57085056,2,12
mean,False,1.0,0.013333333656191826,56888256,1,12
mean,True,9.999999747378752e-06,0.9600000381469727,84465600,141,12
mean,True,1.4873522559355479e-05,0.9600000381469727,84465600,141,12
mean,True,2.2122167138149962e-05,0.9600000381469727,84268800,140,12
mean,True,3.2903451938182116e-05,0.9600000381469727,84268800,140,12
mean,True,4.893902223557234e-05,0.9600000381469727,83481600,136,12
mean,True,7.278956763911992e-05,0.9666666984558105,82300800,130,12
mean,True,0.00010826366633409634,0.9600000381469727,81120000,124,12
mean,True,0.00016102619701996446,0.9600000381469727,79939200,118,12
mean,True,0.0002395026822341606,0.9666666984558105,77577600,106,12
mean,True,0.00035622483119368553,0.9600000381469727,76200000,99,12
mean,True,0.0005298317992128432,0.9800000190734863,73444800,85,12
mean,True,0.0007880465127527714,0.9800000190734863,71280000,74,12
mean,True,0.0011721020564436913,0.9733333587646484,68524800,60,12
mean,True,0.0017433286411687732,0.9800000190734863,66950400,52,12
mean,True,0.0025929436087608337,0.9800000190734863,64982400,42,12
mean,True,0.003856620518490672,0.9800000190734863,63602496,35,12
mean,True,0.005736153107136488,1.0,57100416,26,11
mean,True,0.008531680330634117,1.0,55718208,19,11
mean,True,0.01268961001187563,0.9933333396911621,41152704,17,8
mean,True,0.0188739150762558,1.0,30912960,13,6
mean,True,0.028072157874703407,0.9600000381469727,20478720,8,4
mean,True,0.04175318777561188,0.7400000095367432,20675520,9,4
mean,True,0.06210169568657875,0.5800000429153442,15555648,7,3
mean,True,0.09236709773540497,0.41333335638046265,24609984,5,5
mean,True,0.1373823583126068,0.02666666731238365,14965248,4,3
mean,True,0.20433597266674042,0.0,5320512,3,1
mean,True,0.30391955375671387,0.0,5320512,3,1
mean,True,0.4520353674888611,0.0,5121408,2,1
mean,True,0.6723357439041138,0.0,5121408,2,1
mean,True,1.0,0.0,200640,1,0
zero,False,9.999999747378752e-06,0.9600000381469727,85056000,144,12
zero,False,1.4873522559355479e-05,0.9600000381469727,85056000,144,12
zero,False,2.2122167138149962e-05,0.9600000381469727,85056000,144,12
zero,False,3.2903451938182116e-05,0.9600000381469727,85056000,144,12
zero,False,4.893902223557234e-05,0.9600000381469727,85056000,144,12
zero,False,7.278956763911992e-05,0.9600000381469727,84859200,143,12
zero,False,0.00010826366633409634,0.9600000381469727,84859200,143,12
zero,False,0.00016102619701996446,0.9600000381469727,84662400,142,12
zero,False,0.0002395026822341606,0.9600000381469727,84465600,141,12
zero,False,0.00035622483119368553,0.9733333587646484,84072000,139,12
zero,False,0.0005298317992128432,0.9733333587646484,83481600,136,12
